onset	duration	trial_type	
0	8	CountDot	
8	12	PropLogic	
20	12	ForeignRead	
32	6	ForeignReadQ	
38	2	FeedbackPos	
40	12	MoralPersonal	
52	8	DecideFood	
60	8	DetectDifference	
68	2	FeedbackPos	
70	8	RecallFace	
78	6	MemoryNameEasy	
84	8	MatchNameEasy	
92	6	RateConfidence	
98	8	ImagineFuture	
106	10	RestOpen	
116	10	LetterFluency	
126	6	RatePainfulPic	
132	8	PressLeft	
140	6	RecallTaskHard	
146	8	PressLR	
154	8	RecallPast	
162	10	RateDisgustMov	
172	6	MirrorImage	
178	10	RateSexyMovM	
188	6	LanguageSound	
194	6	Flag	
200	2	FeedbackPos	
202	10	DetectTargetMov	
212	2	FeedbackPos	
214	6	Harmony	
220	6	AnimalVoice	
226	2	FeedbackPos	
228	8	SoundRight	
236	6	MemoryDigit	
242	8	Sarcasm	
250	6	MatchDigit	
256	2	FeedbackPos	
258	6	MapIcon	
264	10	RateSexyMovF	
274	8	DecidePresent	
282	6	RateSleepy	
288	8	ImagineMove	
296	6	EmotionFace	
302	10	RateBeautyMov	
312	10	RateBeautySound	
322	8	SoundLeft	
330	10	RateDeliciousMov	
340	6	StateMap	
346	6	ComparePeople	
352	2	FeedbackPos	
354	6	RateDisgustPic	
360	10	ForeignListen	
370	6	ForeignListenQ	
376	8	TimeMov	
384	8	DecideShopping	
392	10	CategoryFluency	
402	10	RecallKnowledge	
412	12	MoralImpersonal	
424	6	SoundPlace	
430	2	FeedbackPos	
432	8	EyeMoveHard	
440	8	EyeBlink	
448	12	RatePoem	
460	6	DailySound	
466	8	CalcEasy	
474	8	PressOrdEasy	
482	6	AnimalPhoto	
488	2	FeedbackPos	
490	8	TimeValue	
498	6	RecallTaskEasy	
504	2	FeedbackPos	
506	8	Money	
514	2	FeedbackPos	
516	10	MusicCategory	
526	8	DecidePeople	
534	10	RateHappyMov	
544	6	DomesiticName	
