onset	duration	trial_type	
0	6	MemoryDigit	
6	8	DecideShopping	
14	6	MatchDigit	
20	2	FeedbackPos	
22	10	DetectTargetMov	
32	8	DetectDifference	
40	6	WorldPlace	
46	6	WorldName	
52	10	LetterFluency	
62	8	CalcEasy	
70	6	RecallTaskEasy	
76	6	StateMap	
82	2	FeedbackPos	
84	8	EyeBlink	
92	8	PressOrdHard	
100	10	ForeignListen	
110	6	ForeignListenQ	
116	8	TimeMov	
124	12	MoralPersonal	
136	10	RestOpen	
146	10	RateBeautySound	
156	8	PressLR	
164	8	ImagineIf	
172	6	RateSexyPicM	
178	12	PropLogic	
190	8	ImagineFuture	
198	6	TrafficSign	
204	10	CategoryFluency	
214	6	RateTired	
220	6	ComparePeople	
226	6	LanguageSound	
232	2	FeedbackPos	
234	8	TimeValue	
242	6	RateDisgustPic	
248	10	MusicCategory	
258	10	RateBeautyMov	
268	10	RecallKnowledge	
278	8	ImaginePlace	
286	8	Recipe	
294	6	CountryMap	
300	2	FeedbackPos	
302	12	RatePoem	
314	6	Flag	
320	2	FeedbackPos	
322	10	RateSexyMovM	
332	8	CountDot	
340	2	FeedbackPos	
342	6	RateSexyPicF	
348	6	AnimalPhoto	
354	6	RateConfidence	
360	10	RateDisgustMov	
370	10	CalcHard	
380	2	FeedbackPos	
382	6	RatePainfulPic	
388	6	MemoryLetter	
394	10	RateHappyMov	
404	6	MatchLetter	
410	6	AnimalVoice	
416	2	FeedbackPos	
418	8	SoundLeft	
426	6	DailySound	
432	6	DetectColor	
438	8	PressLeft	
446	8	EyeMoveHard	
454	8	ImagineMove	
462	6	Harmony	
468	2	FeedbackPos	
470	6	DomesiticPlace	
476	2	FeedbackPos	
478	6	Clock	
484	8	Metaphor	
492	8	CountTone	
500	2	FeedbackPos	
502	6	EmotionFace	
508	8	Sarcasm	
516	10	RestClose	
526	6	RateBeautyPic	
532	12	ForeignRead	
544	6	ForeignReadQ	
