onset	duration	trial_type	
0	6	MemoryLetter	
6	8	DetectTargetPic	
14	2	FeedbackPos	
16	6	MatchLetter	
22	10	RatePainfulMov	
32	8	EyeMoveHard	
40	8	EyeBlink	
48	6	CountryMap	
54	6	ComparePeople	
60	2	FeedbackPos	
62	8	ImagineFuture	
70	8	TimeSound	
78	6	RateBeautyPic	
84	6	WordMeaning	
90	2	FeedbackPos	
92	6	MapIcon	
98	2	FeedbackPos	
100	8	CountTone	
108	8	ImagineMove	
116	8	PressLeft	
124	6	RateTired	
130	6	Rhythm	
136	10	RateBeautyMov	
146	6	Clock	
152	2	FeedbackPos	
154	8	RecallPast	
162	10	RateHappyMov	
172	6	AnimalPhoto	
178	2	FeedbackPos	
180	8	Money	
188	2	FeedbackPos	
190	6	RecallTaskHard	
196	2	FeedbackPos	
198	8	ImagineIf	
206	8	PressOrdHard	
214	6	DomesiticPlace	
220	6	MirrorImage	
226	8	TimeValue	
234	12	MoralPersonal	
246	8	RateNoisy	
254	12	RelationLogic	
266	8	EyeMoveEasy	
274	12	RatePoem	
286	10	RateSexyMovF	
296	8	CountTone	
304	2	FeedbackPos	
306	6	RateSexyPicM	
312	8	ImagineMove	
320	6	DailySound	
326	2	FeedbackPos	
328	10	RecallKnowledge	
338	10	MusicCategory	
348	6	WordMeaning	
354	12	RelationLogic	
366	6	RateDisgustSound	
372	6	AnimalVoice	
378	8	Recipe	
386	6	RateBeautyPic	
392	8	Money	
400	6	RecallTaskEasy	
406	6	DomesiticPlace	
412	6	MemoryDigit	
418	10	LetterFluency	
428	6	MatchDigit	
434	6	RateTired	
440	8	PressLeft	
448	10	RateHappyMov	
458	6	Clock	
464	8	PressLR	
472	12	ForeignRead	
484	6	ForeignReadQ	
490	2	FeedbackPos	
492	6	Flag	
498	2	FeedbackPos	
500	6	RateDeliciousPic	
506	8	RecallFace	
514	10	RateBeautyMov	
524	6	SoundPlace	
530	12	MoralImpersonal	
542	6	EmotionVoice	
548	2	FeedbackPos	
