onset	duration	trial_type	
0	6	WorldName	
6	6	RateConfidence	
12	8	Metaphor	
20	12	ForeignRead	
32	6	ForeignReadQ	
38	2	FeedbackPos	
40	6	MemoryLetter	
46	8	ImaginePlace	
54	6	MatchLetter	
60	6	RateHappyPic	
66	8	TimeSound	
74	6	SoundPlace	
80	2	FeedbackPos	
82	8	DecidePresent	
90	10	ForeignListen	
100	6	ForeignListenQ	
106	2	FeedbackPos	
108	8	PressRight	
116	6	CountryMap	
122	6	MemoryDigit	
128	10	RateDeliciousMov	
138	6	MatchDigit	
144	8	DecideShopping	
152	8	Recipe	
160	2	FeedbackPos	
162	8	PressLeft	
170	6	LanguageSound	
176	12	MoralImpersonal	
188	6	RateSexyPicM	
194	12	PropLogic	
206	10	RateSexyMovF	
216	8	TimeValue	
224	6	DailySound	
230	2	FeedbackPos	
232	8	CalcEasy	
240	2	FeedbackPos	
242	6	MirrorImage	
248	2	FeedbackPos	
250	10	RatePainfulMov	
260	6	RecallTaskEasy	
266	6	ComparePeople	
272	2	FeedbackPos	
274	8	ImagineMove	
282	6	DomesiticName	
288	8	SoundRight	
296	8	PressLR	
304	10	LetterFluency	
314	8	CountDot	
322	8	DecidePeople	
330	6	RateDisgustSound	
336	8	ImagineIf	
344	10	DetectTargetMov	
354	8	Money	
362	10	RateHappyMov	
372	6	DomesiticPlace	
378	6	DailyPhoto	
384	2	FeedbackPos	
386	6	DetectColor	
392	2	FeedbackPos	
394	6	RatePainfulPic	
400	8	PressOrdHard	
408	6	Harmony	
414	8	DecideFood	
422	8	EyeBlink	
430	8	SoundLeft	
438	8	EyeMoveHard	
446	6	RateSleepy	
452	6	Clock	
458	2	FeedbackPos	
460	6	Rhythm	
466	6	RateTired	
472	6	EmotionFace	
478	2	FeedbackPos	
480	8	TimeMov	
488	10	RateBeautyMov	
498	6	EmotionVoice	
504	6	AnimalVoice	
510	2	FeedbackPos	
512	6	MemoryNameEasy	
518	8	MatchNameEasy	
526	8	CountTone	
534	8	DetectTargetPic	
542	8	RecallPast	
