onset	duration	trial_type	
0	8	DetectDifference	
8	6	EmotionVoice	
14	2	FeedbackPos	
16	8	DecideShopping	
24	6	RatePainfulPic	
30	6	TrafficSign	
36	10	RateSexyMovM	
46	6	Harmony	
52	8	Sarcasm	
60	2	FeedbackPos	
62	6	LanguageSound	
68	6	DailySound	
74	2	FeedbackPos	
76	6	RateSexyPicM	
82	6	RateDisgustSound	
88	8	ImagineIf	
96	6	RateHappyPic	
102	8	Money	
110	6	StateMap	
116	6	RateDisgustPic	
122	10	RatePainfulMov	
132	12	ForeignRead	
144	6	ForeignReadQ	
150	6	Flag	
156	10	RateBeautyMov	
166	6	RateDeliciousPic	
172	10	RateDisgustMov	
182	8	Recipe	
190	2	FeedbackPos	
192	12	RatePoem	
204	6	Rhythm	
210	10	DetectTargetMov	
220	6	DomesiticPlace	
226	8	TimeMov	
234	6	MemoryLetter	
240	10	LetterFluency	
250	6	MatchLetter	
256	2	FeedbackPos	
258	8	CalcEasy	
266	8	RecallFace	
274	8	PressRight	
282	10	RateDeliciousMov	
292	8	Metaphor	
300	6	MemoryNameHard	
306	8	MatchNameHard	
314	6	RateConfidence	
320	8	EyeBlink	
328	10	CalcHard	
338	2	FeedbackPos	
340	6	MemoryNameEasy	
346	8	MatchNameEasy	
354	6	DomesiticName	
360	2	FeedbackPos	
362	6	DailyPhoto	
368	2	FeedbackPos	
370	10	RateSexyMovF	
380	8	PressOrdHard	
388	8	DetectTargetPic	
396	2	FeedbackPos	
398	6	DetectColor	
404	6	CountryMap	
410	10	RateBeautySound	
420	8	PressLR	
428	8	TimeSound	
436	6	AnimalVoice	
442	6	RateSexyPicF	
448	10	RecallKnowledge	
458	8	DecideFood	
466	6	RateBeautyPic	
472	8	EyeMoveHard	
480	8	SoundLeft	
488	10	MusicCategory	
498	2	FeedbackPos	
500	8	RecallPast	
508	8	ImagineFuture	
516	6	RecallTaskEasy	
522	8	PressOrdEasy	
530	6	RateTired	
536	8	CountDot	
544	6	WorldPlace	
