onset	duration	trial_type	
0	6	AnimalPhoto	
6	8	SoundRight	
14	6	SoundPlace	
20	6	TrafficSign	
26	6	RateConfidence	
32	6	RateDisgustPic	
38	8	PressOrdHard	
46	10	RateBeautyMov	
56	6	MemoryLetter	
62	8	Sarcasm	
70	6	MatchLetter	
76	6	ComparePeople	
82	10	CategoryFluency	
92	6	Rhythm	
98	2	FeedbackPos	
100	6	DomesiticPlace	
106	2	FeedbackPos	
108	12	ForeignRead	
120	6	ForeignReadQ	
126	6	EmotionFace	
132	8	DetectTargetPic	
140	2	FeedbackPos	
142	8	ImaginePlace	
150	6	DailyPhoto	
156	6	AnimalVoice	
162	8	TimeSound	
170	8	CalcEasy	
178	2	FeedbackPos	
180	6	WorldName	
186	8	PressLeft	
194	6	RateDisgustSound	
200	10	RateSexyMovM	
210	10	RateSexyMovF	
220	8	CountDot	
228	2	FeedbackPos	
230	8	DecideShopping	
238	6	RateHappyPic	
244	6	RateSexyPicM	
250	6	DomesiticName	
256	8	EyeBlink	
264	12	MoralPersonal	
276	8	Money	
284	6	DailySound	
290	8	DecidePresent	
298	6	StateMap	
304	2	FeedbackPos	
306	12	PropLogic	
318	6	MapIcon	
324	2	FeedbackPos	
326	6	WorldPlace	
332	6	RecallTaskEasy	
338	6	DetectColor	
344	2	FeedbackPos	
346	8	EyeMoveEasy	
354	10	LetterFluency	
364	10	MusicCategory	
374	2	FeedbackPos	
376	6	LanguageSound	
382	2	FeedbackPos	
384	6	RecallTaskHard	
390	2	FeedbackPos	
392	10	RateDisgustMov	
402	10	CalcHard	
412	8	ImagineIf	
420	8	ImagineMove	
428	6	Flag	
434	2	FeedbackPos	
436	8	RecallFace	
444	8	PressLR	
452	10	RestClose	
462	10	RateBeautySound	
472	6	RateSexyPicF	
478	12	RatePoem	
490	8	EyeMoveHard	
498	8	DecidePeople	
506	6	RatePainfulPic	
512	12	MoralImpersonal	
524	8	DetectDifference	
532	2	FeedbackPos	
534	6	RateBeautyPic	
540	10	RateHappyMov	
