onset	duration	trial_type	
0	6	MemoryNameEasy	
6	8	MatchNameEasy	
14	6	CountryMap	
20	12	RelationLogic	
32	6	EmotionVoice	
38	6	MirrorImage	
44	2	FeedbackPos	
46	6	RateSleepy	
52	8	Metaphor	
60	8	RateNoisy	
68	10	RatePainfulMov	
78	6	WordMeaning	
84	10	RateDeliciousMov	
94	10	RestOpen	
104	8	DecideFood	
112	8	PressRight	
120	8	TimeMov	
128	2	FeedbackPos	
130	10	DetectTargetMov	
140	8	CountTone	
148	6	RateTired	
154	10	RecallKnowledge	
164	8	SoundLeft	
172	10	ForeignListen	
182	6	ForeignListenQ	
188	2	FeedbackPos	
190	8	TimeValue	
198	8	ImagineFuture	
206	8	Recipe	
214	6	Clock	
220	6	MemoryNameHard	
226	8	MatchNameHard	
234	6	RateDeliciousPic	
240	6	Harmony	
246	2	FeedbackPos	
248	8	RecallPast	
256	6	MemoryDigit	
262	8	PressOrdEasy	
270	6	MatchDigit	
276	8	CalcEasy	
284	8	PressRight	
292	8	RecallFace	
300	6	WorldPlace	
306	2	FeedbackPos	
308	10	RateBeautyMov	
318	6	LanguageSound	
324	6	SoundPlace	
330	8	DetectDifference	
338	2	FeedbackPos	
340	10	RateDeliciousMov	
350	6	AnimalVoice	
356	8	DecidePeople	
364	6	MirrorImage	
370	6	TrafficSign	
376	6	StateMap	
382	8	Recipe	
390	10	DetectTargetMov	
400	2	FeedbackPos	
402	8	EyeMoveEasy	
410	6	Harmony	
416	6	DetectColor	
422	6	RecallTaskEasy	
428	2	FeedbackPos	
430	10	RatePainfulMov	
440	10	CategoryFluency	
450	6	AnimalPhoto	
456	12	ForeignRead	
468	6	ForeignReadQ	
474	2	FeedbackPos	
476	6	RateDisgustSound	
482	8	PressLR	
490	12	PropLogic	
502	2	FeedbackPos	
504	10	RateSexyMovM	
514	6	MemoryNameEasy	
520	8	MatchNameEasy	
528	6	MapIcon	
534	2	FeedbackPos	
536	8	ImaginePlace	
544	6	RateBeautyPic	
