onset	duration	trial_type	
0	8	DecideShopping	
8	6	RateHappyPic	
14	6	SoundPlace	
20	2	FeedbackPos	
22	8	PressLR	
30	6	Flag	
36	6	EmotionFace	
42	12	MoralImpersonal	
54	10	CalcHard	
64	6	MemoryNameHard	
70	8	MatchNameHard	
78	10	RestOpen	
88	6	LanguageSound	
94	8	DecidePresent	
102	6	DailyPhoto	
108	6	WorldName	
114	2	FeedbackPos	
116	8	PressRight	
124	8	RecallFace	
132	10	DetectTargetMov	
142	2	FeedbackPos	
144	6	MemoryNameEasy	
150	8	MatchNameEasy	
158	6	MemoryDigit	
164	8	CountDot	
172	2	FeedbackPos	
174	6	MatchDigit	
180	6	DetectColor	
186	6	RateConfidence	
192	6	DailySound	
198	10	RestClose	
208	10	RateBeautySound	
218	8	PressOrdEasy	
226	10	RateDisgustMov	
236	6	EmotionVoice	
242	10	LetterFluency	
252	12	ForeignRead	
264	6	ForeignReadQ	
270	8	DetectDifference	
278	6	DomesiticName	
284	10	RateSexyMovM	
294	6	StateMap	
300	10	ForeignListen	
310	6	ForeignListenQ	
316	8	Metaphor	
324	2	FeedbackPos	
326	6	RateSexyPicF	
332	6	RateDisgustPic	
338	8	ImaginePlace	
346	6	TrafficSign	
352	8	CalcEasy	
360	10	RecallKnowledge	
370	8	SoundLeft	
378	8	TimeMov	
386	2	FeedbackPos	
388	6	Harmony	
394	6	RateDeliciousPic	
400	8	SoundRight	
408	10	RateSexyMovF	
418	8	Sarcasm	
426	6	RecallTaskEasy	
432	2	FeedbackPos	
434	6	RateSexyPicM	
440	8	DecidePeople	
448	6	AnimalVoice	
454	6	RatePainfulPic	
460	8	Recipe	
468	2	FeedbackPos	
470	10	RateDeliciousMov	
480	6	RateSleepy	
486	8	DecideFood	
494	10	CategoryFluency	
504	6	RateDisgustSound	
510	6	WorldPlace	
516	12	PropLogic	
528	12	RatePoem	
540	10	MusicCategory	
