onset	duration	trial_type	
0	8	PressOrdHard	
8	8	ImagineIf	
16	8	PressRight	
24	6	RateSexyPicM	
30	6	WorldPlace	
36	2	FeedbackPos	
38	6	RateHappyPic	
44	6	TrafficSign	
50	2	FeedbackPos	
52	8	ImaginePlace	
60	6	Clock	
66	8	RateNoisy	
74	10	RestClose	
84	6	WordMeaning	
90	8	Metaphor	
98	2	FeedbackPos	
100	8	EyeMoveEasy	
108	6	RateDisgustSound	
114	8	TimeSound	
122	2	FeedbackPos	
124	6	CountryMap	
130	2	FeedbackPos	
132	12	RelationLogic	
144	6	WorldName	
150	6	EmotionVoice	
156	6	MemoryNameHard	
162	8	MatchNameHard	
170	6	DailyPhoto	
176	8	DetectTargetPic	
184	6	RateDeliciousPic	
190	6	RateTired	
196	10	RatePainfulMov	
206	6	RateBeautyPic	
212	10	CalcHard	
222	6	RateSexyPicF	
228	6	DetectColor	
234	6	MemoryLetter	
240	6	Rhythm	
246	6	MatchLetter	
252	8	Recipe	
260	8	CountTone	
268	6	DomesiticPlace	
274	10	CategoryFluency	
284	12	PropLogic	
296	2	FeedbackPos	
298	8	EyeMoveEasy	
306	12	MoralImpersonal	
318	6	RecallTaskHard	
324	8	ImagineMove	
332	8	SoundRight	
340	10	RateHappyMov	
350	6	MemoryDigit	
356	12	RelationLogic	
368	2	FeedbackPos	
370	6	MatchDigit	
376	8	DecidePeople	
384	8	RateNoisy	
392	10	ForeignListen	
402	6	ForeignListenQ	
408	6	Clock	
414	2	FeedbackPos	
416	6	SoundPlace	
422	10	RestClose	
432	6	MapIcon	
438	12	MoralPersonal	
450	8	PressLeft	
458	8	DecidePresent	
466	6	WorldName	
472	2	FeedbackPos	
474	10	RestOpen	
484	6	AnimalPhoto	
490	6	RateSleepy	
496	8	ImaginePlace	
504	8	TimeValue	
512	8	CountTone	
520	2	FeedbackPos	
522	6	EmotionFace	
528	2	FeedbackPos	
530	6	ComparePeople	
536	6	WordMeaning	
542	2	FeedbackPos	
544	6	MirrorImage	
