onset	duration	trial_type	
0	8	DecideShopping	
8	8	SoundRight	
16	6	MemoryLetter	
22	12	MoralImpersonal	
34	6	MatchLetter	
40	2	FeedbackPos	
42	8	CountDot	
50	6	Flag	
56	8	ImagineFuture	
64	8	RecallPast	
72	8	PressLeft	
80	8	Metaphor	
88	2	FeedbackPos	
90	10	RateHappyMov	
100	8	RateNoisy	
108	8	DecidePresent	
116	10	ForeignListen	
126	6	ForeignListenQ	
132	6	RateDisgustPic	
138	8	TimeSound	
146	8	SoundLeft	
154	6	MemoryDigit	
160	8	PressOrdHard	
168	6	MatchDigit	
174	10	MusicCategory	
184	2	FeedbackPos	
186	8	DetectTargetPic	
194	2	FeedbackPos	
196	10	RateDisgustMov	
206	6	DomesiticPlace	
212	10	CalcHard	
222	8	EyeMoveHard	
230	6	RateDeliciousPic	
236	10	RateBeautySound	
246	8	TimeValue	
254	6	RateSexyPicF	
260	8	CountTone	
268	8	Money	
276	2	FeedbackPos	
278	12	RatePoem	
290	6	RecallTaskHard	
296	8	ImagineMove	
304	10	RateSexyMovF	
314	10	LetterFluency	
324	12	RelationLogic	
336	2	FeedbackPos	
338	6	DomesiticName	
344	2	FeedbackPos	
346	6	DailySound	
352	8	ImagineIf	
360	8	TimeMov	
368	2	FeedbackPos	
370	6	WordMeaning	
376	6	RateConfidence	
382	6	CountryMap	
388	8	PressOrdEasy	
396	8	EyeBlink	
404	6	EmotionFace	
410	6	RateHappyPic	
416	6	Clock	
422	6	RateSleepy	
428	10	RestClose	
438	6	RateSexyPicM	
444	8	Sarcasm	
452	6	RateTired	
458	6	EmotionVoice	
464	6	ComparePeople	
470	10	RecallKnowledge	
480	6	RatePainfulPic	
486	8	DecideFood	
494	12	MoralPersonal	
506	6	MemoryNameHard	
512	8	MatchNameHard	
520	10	RestOpen	
530	6	DailyPhoto	
536	6	WorldName	
542	2	FeedbackPos	
544	6	Rhythm	
