onset	duration	trial_type	
0	8	PressRight	
8	8	CountDot	
16	6	RatePainfulPic	
22	10	CategoryFluency	
32	8	EyeBlink	
40	6	RateHappyPic	
46	8	DecideShopping	
54	8	EyeMoveEasy	
62	6	RateDisgustPic	
68	10	RateDeliciousMov	
78	6	Rhythm	
84	2	FeedbackPos	
86	10	ForeignListen	
96	6	ForeignListenQ	
102	2	FeedbackPos	
104	6	Harmony	
110	2	FeedbackPos	
112	8	TimeSound	
120	8	ImagineIf	
128	6	RateSexyPicF	
134	8	PressOrdEasy	
142	6	MemoryNameHard	
148	8	MatchNameHard	
156	6	EmotionFace	
162	6	RateConfidence	
168	6	DomesiticName	
174	6	MapIcon	
180	8	ImaginePlace	
188	8	RateNoisy	
196	6	MemoryLetter	
202	10	RatePainfulMov	
212	6	MatchLetter	
218	2	FeedbackPos	
220	6	CountryMap	
226	2	FeedbackPos	
228	10	RestOpen	
238	8	DetectTargetPic	
246	10	CalcHard	
256	8	CalcEasy	
264	2	FeedbackPos	
266	6	RecallTaskHard	
272	6	LanguageSound	
278	2	FeedbackPos	
280	10	DetectTargetMov	
290	8	Sarcasm	
298	2	FeedbackPos	
300	8	EyeMoveHard	
308	6	StateMap	
314	2	FeedbackPos	
316	10	RateDisgustMov	
326	8	ImagineFuture	
334	8	SoundLeft	
342	6	WorldName	
348	6	MirrorImage	
354	8	TimeValue	
362	10	RateBeautySound	
372	6	RateSleepy	
378	12	PropLogic	
390	8	DecideFood	
398	8	RecallPast	
406	6	WorldPlace	
412	6	TrafficSign	
418	2	FeedbackPos	
420	8	DecidePeople	
428	8	Metaphor	
436	6	MemoryNameEasy	
442	8	MatchNameEasy	
450	8	SoundRight	
458	8	DecidePresent	
466	6	DetectColor	
472	10	RestClose	
482	8	TimeMov	
490	6	DailyPhoto	
496	2	FeedbackPos	
498	6	ComparePeople	
504	8	PressOrdHard	
512	6	AnimalPhoto	
518	8	DetectDifference	
526	2	FeedbackPos	
528	12	MoralPersonal	
540	10	RateSexyMovM	
